2026-09-01 16:33:38 | INFO     | rapport_synthese       | === Démarrage de la génération des rapports de synthèse ===
2026-09-01 16:56:08 | DEBUG    | db                     | Exécution requête SQL :          SELECT s.id_source, s.id_import,                CASE                    WHEN ST_GeometryType(s.the_geom_local) IN ('ST_LineString', 'ST_Multi
2026-09-01 16:56:13 | DEBUG    | db                     | Requête terminée : 4 ligne(s) retournée(s)
2026-09-01 16:56:13 | DEBUG    | db                     | Exécution requête SQL :          WITH geoms AS (             SELECT                 CASE                     WHEN ST_GeometryType(s.the_geom_local) IN ('ST_LineString','ST_Mu
2026-09-01 16:56:14 | DEBUG    | db                     | Requête terminée : 10 ligne(s) retournée(s)
2026-09-01 16:56:14 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:56:15 | DEBUG    | db                     | Requête terminée : 5 ligne(s) retournée(s)
2026-09-01 16:56:15 | DEBUG    | db                     | Exécution requête SQL :          WITH secteurs AS (             SELECT 'RA'::text AS secteur, geom FROM ref_geo.l_areas              WHERE id_type = 26 AND area_name IN ('Ain
2026-09-01 16:56:15 | DEBUG    | db                     | Requête terminée : 90 ligne(s) retournée(s)
2026-09-01 16:56:15 | INFO     | data_service           | Chargement terminé pour « [ORB] Depobio » : 380517 données au total
2026-09-01 16:56:36 | INFO     | report_generator       | Rapport généré avec succès : output\ORB_Depobio.html
2026-09-01 16:56:36 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 16:56:36 | INFO     | rapport_synthese       | === Terminé en 289.4s : 1 rapport(s) généré(s) avec succès, 0 échec(s) ===
2026-09-01 17:21:13 | INFO     | rapport_synthese       | === Démarrage de la génération des rapports de synthèse ===
2026-09-01 17:21:13 | INFO     | db                     | Initialisation du moteur de connexion PostgreSQL (dbadmin@bdd.lpo-aura.org:5432/gnlpoaura)
2026-09-01 17:21:15 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 17:21:15 | DEBUG    | db                     | Connexion base de données fermée
2026-09-01 17:21:15 | INFO     | db                     | Connexion à la base de données réussie !
2026-09-01 17:21:15 | WARNING  | rapport_synthese       | Rafraîchissement des vues matérialisées ignoré (--skip-refresh)
2026-09-01 17:21:15 | DEBUG    | db                     | Connexion base de données ouverte
2026-09-01 17:21:15 | DEBUG    | db                     | Exécution requête SQL : SELECT desc_source, nom_fichier, list_import FROM gn_imports.v_c_rapport_generated;
2026-09-01 17:21:18 | DEBUG    | db                     | Requête terminée : 47 ligne(s) retournée(s)
2026-09-01 17:21:18 | INFO     | data_service           | 47 rapport(s) à générer d'après gn_imports.v_c_rapport_generated
2026-09-01 17:21:18 | INFO     | rapport_synthese       | Filtre appliqué sur 'orb_depobio' : 1 rapport(s) restant(s)
2026-09-01 17:21:18 | INFO     | rapport_synthese       | Rapport [11/1] : « [ORB] Depobio » -> orb_depobio (1 import(s) : ['7102_'])
2026-09-01 17:21:18 | INFO     | report_generator       | === Génération du rapport pour « [ORB] Depobio » ===
